scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
Nippon India Income Fund,Debt,Medium to Long Duration Funds,2,3,0.58,238.0,10,0.5,1.14,1.43,6.0,5.8,7.9,100
Nippon India Index Fund,Other,Index Funds,6,4,0.15,374.0,10,1.28,-1.01,1,1.5,25.6,13.0,100
Nippon India Index Fund,Other,Index Funds,6,3,0.2,638.0,10,1.26,-1.48,0.99,0.9,26.0,11.9,100
Nippon India Large Cap Fund,Equity,Large Cap Mutual Funds,6,3,1.01,12524.0,10,1.44,2.97,1,8.4,29.5,12.6,100
Nippon India Liquid Fund,Debt,Liquid Mutual Funds,2,3,0.2,25358.0,10,1.01,1.5,0.83,5.6,4.4,5.4,100
Nippon India Low Duration Fund,Debt,Low Duration Funds,2,4,0.37,6232.0,10,1.82,2.56,0.58,5.3,6.2,6.5,100
Nippon India Money Market Fund,Debt,Money Market Funds,3,5,0.21,10718.0,10,2.11,2.79,1.21,5.7,5.3,6.3,100
Nippon India Multi Cap Fund,Equity,Multi Cap Funds,6,0,1.12,14091.0,10,1.55,6.54,0.99,10.7,33.7,13.2,100
Nippon India Nifty Next 50 Junior BeES FoF-Dir Growth,Other,FoFs Domestic,6,2,0.02,148.0,4,0.99,-4.27,0.99,-5.8,21.8,8.9,100
Nippon India Overnight Fund,Debt,Overnight Mutual Funds,1,4,0.08,8861.0,4,0.07,0.63,0.46,5.4,3.9,8.9,100
Nippon India Pharma Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.17,4267.0,10,0.99,2.71,0.95,-7.0,24.7,15.6,100
Nippon India Power & Infra Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,1.58,1871.0,10,1.67,9.72,0.7,20.4,37.2,10.1,100
Nippon India Quant Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.54,34.0,10,1.47,2.11,0.84,5.0,26.9,11.9,100
Nippon India Retirement Fund,Solution Oriented,Retirement Funds,4,2,0.85,172.0,8,0.76,-0.72,0.61,4.0,8.4,7.4,500
Nippon India Retirement Fund,Solution Oriented,Retirement Funds,6,1,1.03,2233.0,8,1.34,-0.56,0.95,1.3,25.3,6.7,500
Nippon India Short Term Fund,Debt,Short Duration Funds,3,4,0.34,5147.0,10,1.47,4.95,1.94,4.3,6.7,7.2,100
Nippon India Small Cap Fund,Equity,Small Cap Mutual Funds,6,4,0.86,23910.0,10,2.06,10.01,0.89,8.7,47.6,16.8,100
Nippon India Strategic Debt Fund,Debt,Medium Duration Funds,6,2,1.4,151.0,9,0.5,4.14,0.16,2.7,8.3,-0.9,100
Nippon India Tax Saver (ELSS) Fund,Equity,ELSS Mutual Funds,6,1,1.18,11210.0,10,1.37,0.53,0.98,1.8,27.3,6.5,500
Nippon India US Equity Opportunities Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.22,534.0,8,0.67,-,-,1.7,32.4,13.3,100
Nippon India USD Fund,Debt,Ultra Short Duration Funds,3,5,0.38,5114.0,10,1.54,3.47,0.53,5.9,7.0,5.9,100
Nippon India Value Fund,Equity,Value Funds,6,3,1.21,4641.0,10,1.54,4.25,0.97,0.0,30.3,12.2,100
Nippon India Vision Fund,Equity,Large & Mid Cap Funds,6,1,1.55,3024.0,10,1.48,2.62,0.91,2.1,27.4,9.3,100
Parag Parikh Flexi Cap Fund,Equity,Flexi Cap Funds,6,5,0.75,29953.0,10,1.86,10.65,0.7,2.3,33.6,17.6,1000
Parag Parikh Liquid Fund,Debt,Liquid Mutual Funds,2,1,0.17,1456.0,5,0.13,0.87,0.62,5.3,4.0,8.9,1000
Parag Parikh Tax Saver Fund,Equity,ELSS Mutual Funds,6,5,0.8,1147.0,4,2.11,12.64,0.62,8.0,33.0,8.9,1000
PGIM India Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,2,0.33,168.0,9,0.73,1.06,0.41,5.3,4.5,5.2,1000
PGIM India Banking&PSU Debt Fund,Debt,Banking and PSU Mutual Funds,2,3,0.25,53.0,10,0.99,3.87,1.62,4.1,6.4,7.1,1000
PGIM India Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,4,0.29,49.0,10,1.21,1.95,0.58,4.3,6.8,6.9,1000
PGIM India Dynamic Bond Fund,Debt,Dynamic Bond,2,3,0.36,135.0,10,0.68,1.08,0.85,4.6,5.7,7.4,1000
PGIM India Elss Tax Saver Fund,Equity,ELSS Mutual Funds,6,4,1.0,451.0,7,1.64,4.67,0.92,2.9,31.8,13.7,500
PGIM India Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,2,3,0.42,143.0,10,1.86,4.09,0.6,4.3,12.6,8.0,1000
PGIM India Flexi Cap Fund,Equity,Flexi Cap Funds,6,5,0.4,5199.0,8,1.6,5.27,0.99,-2.3,34.0,15.7,1000
PGIM India GEO Fund,Other,FoFs Overseas,6,0,1.44,1336.0,10,0.55,-,-,-7.9,18.9,14.1,1000
PGIM India Gilt Fund,Debt,Gilt Mutual Funds,3,3,0.39,135.0,10,0.54,0.65,0.47,4.2,5.3,7.0,1000
PGIM India Hybrid Equity Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,2,0.68,217.0,10,1.35,2.02,0.78,4.0,20.6,9.0,1000
PGIM India Large Cap Fund,Equity,Large Cap Mutual Funds,6,2,0.98,427.0,10,1.28,-0.62,0.89,4.7,24.1,10.9,1000
PGIM India Liquid Fund,Debt,Liquid Mutual Funds,2,3,0.17,809.0,10,1.07,1.42,0.76,5.6,4.4,5.4,1000
PGIM India Low Duration Fund,Debt,Low Duration Funds,2,1,0.35,97.0,10,0.07,0.46,0.27,5.5,4.3,2.0,1000
PGIM India Midcap Opportunities Fund,Equity,Mid Cap Mutual Funds,6,5,0.46,7707.0,9,1.92,6.9,0.97,2.0,42.9,19.0,1000
PGIM India Money Market Fund,Debt,Money Market Funds,2,4,0.15,235.0,3,1.92,2.48,1.14,5.7,5.1,8.9,1000
PGIM India Overnight Fund,Debt,Overnight Mutual Funds,1,4,0.12,75.0,4,0.16,0.67,0.46,5.4,3.9,8.9,1000
PGIM India Short Duration Fund,Debt,Short Duration Funds,2,3,0.5,29.0,10,1.04,3.73,1.62,4.5,6.3,4.6,1000
PGIM India Ultra Short Duration Fund,Debt,Ultra Short Duration Funds,2,3,0.25,405.0,10,1.9,2.45,1.08,5.5,5.2,7.3,1000
Quant Absolute Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,5,0.56,1013.0,10,2.12,16.98,0.73,7.3,38.2,19.1,1000
Quant Active Fund,Equity,Multi Cap Funds,6,0,0.58,3531.0,10,1.87,13.82,0.97,1.0,45.5,19.9,1000
Quant Flexi Cap Fund,Equity,Flexi Cap Funds,6,5,0.58,1044.0,10,1.94,15.93,0.91,6.8,47.7,18.2,1000
Quant Focused Fund,Equity,Focused Funds,6,5,0.57,219.0,10,1.61,8.6,0.85,5.2,33.7,13.1,1000
Quant Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,5,0.64,822.0,10,2.3,27.24,0.53,5.6,61.5,21.1,1000
Quant Large and Mid Cap Fund,Equity,Large & Mid Cap Funds,6,5,0.56,652.0,10,1.51,6.57,0.88,6.9,33.0,14.2,1000
Quant Liquid Plan – Direct Growth,Debt,Liquid Mutual Funds,2,5,0.29,1561.0,10,3.52,1.58,0.47,5.6,4.9,5.9,1000
Quant Mid Cap Fund,Equity,Mid Cap Mutual Funds,6,5,0.63,1550.0,10,1.95,11.21,0.86,8.8,45.1,19.8,1000
Quant Multi Asset Fund,Hybrid,Multi Asset Allocation Mutual Funds,6,5,0.56,634.0,10,1.79,19.52,0.75,10.6,42.6,20.5,1000
Quant Small Cap Fund,Equity,Small Cap Mutual Funds,6,5,0.64,3301.0,10,2.11,19.16,0.99,5.4,71.4,23.2,1000
Quant Tax Plan- Direct Growth,Equity,ELSS Mutual Funds,6,5,0.57,2779.0,10,2.03,17.63,0.96,0.9,54.9,22.2,500
Quantum Dynamic Bond Fund,Debt,Dynamic Bond,3,3,0.61,85.0,8,0.66,0.93,0.83,5.4,5.9,6.9,500
Quantum Equity Fund,Other,FoFs Domestic,6,2,0.51,88.0,14,1.32,-0.78,0.86,-0.5,22.9,9.1,500
Quantum Gold Savings Fund,Other,FoFs Domestic,5,1,0.06,83.0,12,0.44,-0.98,0.99,14.3,11.7,13.0,500
Quantum Liquid Fund,Debt,Liquid Mutual Funds,1,2,0.15,628.0,17,0.19,0.94,0.65,5.4,4.0,4.9,500
Quantum Long Term Equity Value Fund,Equity,Value Funds,6,2,1.29,837.0,17,1.42,2.04,0.9,2.4,26.5,8.8,500
Quantum Multi Asset Fund,Other,FoFs Domestic,4,3,0.1,49.0,11,1.24,0.61,0.42,5.5,12.4,8.1,500
Quantum Tax Saving Fund,Equity,ELSS Mutual Funds,6,3,1.29,115.0,14,1.44,1.68,0.88,2.9,26.6,8.9,500
SBI Arbitrage Opportunities Fund,Hybrid,Arbitrage Mutual Funds,1,2,0.36,8800.0,10,0.77,1.18,0.45,5.8,4.5,5.4,500
SBI Banking & Financial Services Fund,Equity,Sectoral / Thematic Mutual Funds,6,5,0.78,3747.0,8,0.95,0.4,0.85,5.5,22.4,12.5,500
SBI Banking and PSU Fund,Debt,Banking and PSU Mutual Funds,3,2,0.35,4982.0,10,0.73,4.72,2.4,3.8,6.2,7.0,500
SBI BlueChip Fund,Equity,Large Cap Mutual Funds,6,3,0.9,33987.0,10,1.39,1.08,0.96,4.2,27.0,11.4,500
SBI Conservative Hybrid Fund,Hybrid,Conservative Hybrid Mutual Funds,5,4,0.57,7250.0,10,2.23,5.19,0.56,6.2,13.8,8.8,500
SBI Consumption Opportunities Fund,Equity,Sectoral / Thematic Mutual Funds,6,4,1.18,1185.0,10,1.77,10.04,0.76,11.1,31.0,12.7,500
SBI Contra Fund,Equity,Contra Funds,6,5,0.91,8340.0,10,2.13,15.26,0.89,15.0,43.4,15.6,500
SBI Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,3,0.34,16551.0,4,0.92,1.51,0.75,4.1,6.4,8.9,500
SBI Credit Risk Fund,Debt,Credit Risk Funds,5,3,0.92,2782.0,10,1.5,2.96,0.17,5.2,7.2,7.0,500
SBI Dynamic Bond Fund,Debt,Dynamic Bond,3,4,0.87,2407.0,10,0.66,1.34,1.06,5.9,5.9,7.9,500
SBI Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,0.79,54492.0,10,1.25,0.1,0.79,-1.9,18.4,10.8,500
SBI Equity Minimum Variance – Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,0,0.42,134.0,4,1.47,2.72,0.81,4.9,27.0,8.9,500
SBI Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,3,0.67,2264.0,8,1.47,2.91,1.02,2.2,14.6,8.1,500
SBI Flexi Cap Fund,Equity,Flexi Cap Funds,6,3,0.85,15602.0,10,1.4,0.62,0.88,-1.0,25.2,11.0,500
SBI Floating Rate Debt Fund,Debt,Floater Mutual Funds,2,3,0.26,1604.0,2,-,-,-,5.0,18.5,8.9,500
SBI FMP – Series 1 (3668 Days) – Direct Growth,Debt,Fixed Maturity Plans,3,0,0.0,40.0,4,0.69,9.3,5.09,4.8,6.2,8.9,0
SBI Focused Equity Fund,Equity,Focused Funds,6,3,0.69,26561.0,10,1.17,-0.62,0.81,-4.9,22.0,12.2,500
SBI Gold Fund,Other,FoFs Domestic,6,3,0.1,1265.0,10,0.44,-0.94,0.98,14.8,11.9,13.4,500
SBI Healthcare Opportunities Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.09,1574.0,10,1.09,4.45,0.87,-1.6,25.7,13.6,500
SBI Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,4,1.88,927.0,10,1.79,10.52,0.57,12.8,33.5,13.0,500
