scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
IIFL Liquid Fund,Debt,Liquid Mutual Funds,3,2,0.2,601.0,9,0.04,0.87,0.64,5.5,3.9,4.8,1000
Indiabulls Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,2,0.58,14.0,8,-0.82,0.18,0.54,4.3,3.3,4.5,1000
Indiabulls Bluechip Fund,Equity,Large Cap Mutual Funds,6,2,1.27,91.0,10,1.1,-3.4,0.94,2.0,21.3,9.5,500
Indiabulls Dynamic Bond Fund,Debt,Dynamic Bond,3,3,0.36,25.0,4,0.58,0.95,0.84,4.2,5.2,8.9,500
Indiabulls Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,5,3,1.55,32.0,4,1.29,0.47,0.87,3.2,20.5,8.9,500
Indiabulls Liquid Fund,Debt,Liquid Mutual Funds,2,1,0.22,212.0,10,0.28,0.95,0.63,5.4,4.0,5.2,500
Indiabulls Overnight Fund,Debt,Overnight Mutual Funds,1,1,0.18,42.0,4,-0.36,0.4,0.39,5.2,3.8,8.9,500
Indiabulls Short Term Fund,Debt,Short Duration Funds,3,2,0.38,25.0,10,0.7,4.88,2.83,4.4,5.1,5.9,500
Indiabulls Tax Savings Fund,Equity,ELSS Mutual Funds,6,2,0.5,36.0,5,1.21,-2.36,0.88,1.0,22.3,7.8,500
Indiabulls Value Fund,Equity,Value Funds,6,2,0.5,9.71,8,1.27,-0.23,0.92,-0.2,25.6,6.3,500
Invesco India – Invesco GEI Fund,Other,FoFs Overseas,6,0,0.73,12.0,9,1.01,-,-,9.5,24.4,9.5,500
Invesco India Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,5,0.38,3184.0,10,1.5,1.77,0.53,6.4,5.0,5.6,500
Invesco India Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,1,0.28,131.0,10,0.25,4.59,2.79,2.3,5.8,6.4,1000
Invesco India Contra Fund,Equity,Contra Funds,6,4,0.62,9347.0,10,1.45,2.27,0.94,2.8,27.6,12.3,500
Invesco India Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,3,0.28,2065.0,10,0.91,1.51,0.67,3.7,6.4,6.9,100
Invesco India Credit Risk Fund,Debt,Credit Risk Funds,2,2,0.28,129.0,9,0.97,9.17,4.76,4.4,6.0,3.5,1000
Invesco India Dynamic Equity Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,2,0.95,612.0,10,1.27,0.76,0.59,3.9,15.4,7.4,500
Invesco India Equity & Bond Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,2,0.76,378.0,5,1.29,1.1,0.71,1.5,17.4,8.9,500
Invesco India Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,2,0.73,132.0,4,1.08,0.17,0.82,1.2,9.6,8.9,500
Invesco India Financial Services Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,1.08,472.0,10,1,1.74,0.8,5.9,22.6,10.9,100
Invesco India Gilt Fund,Debt,Gilt Mutual Funds,2,1,0.48,22.0,10,0.06,-0.44,0.54,4.9,4.2,6.7,100
Invesco India Gold Fund,Other,FoFs Domestic,5,4,0.16,59.0,10,0.51,0.29,1.03,13.2,11.5,13.2,500
Invesco India Growth Opportunities Fund,Equity,Large & Mid Cap Funds,6,3,0.66,3665.0,10,1.3,0.23,0.84,0.8,22.8,11.0,100
Invesco India Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,5,1.08,445.0,10,1.59,8.67,0.61,8.9,33.2,14.6,500
Invesco India Largecap Fund,Equity,Large Cap Mutual Funds,6,4,0.81,724.0,10,1.28,-0.23,0.92,-1.8,24.0,11.1,100
Invesco India Liquid Fund,Debt,Liquid Mutual Funds,2,3,0.15,6434.0,10,0.83,1.31,0.75,5.6,4.3,5.3,500
Invesco India Medium Duration Fund,Debt,Medium Duration Funds,3,2,0.4,306.0,2,-,-,-,3.5,18.5,8.9,1000
Invesco India Midcap Fund,Equity,Mid Cap Mutual Funds,6,3,0.72,2618.0,10,1.56,-0.38,0.86,0.2,33.5,14.6,500
Invesco India Money Market Fund,Debt,Money Market Funds,2,2,0.22,2294.0,10,1.14,3.07,1.61,5.0,5.1,5.8,1000
Invesco India Multicap Fund,Equity,Multi Cap Funds,6,0,0.65,2347.0,10,1.43,2.38,0.91,1.4,27.0,11.0,500
Invesco India Overnight Fund,Debt,Overnight Mutual Funds,1,3,0.09,337.0,3,-0.06,0.55,0.42,5.3,3.8,8.9,100
Invesco India PSU Equity Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.96,394.0,10,1.19,3.08,0.66,16.2,26.5,12.6,500
Invesco India Short Term Fund,Debt,Short Duration Funds,2,2,0.35,350.0,10,0.76,4.41,2.19,3.9,6.2,6.8,1000
Invesco India Smallcap Fund,Equity,Small Cap Mutual Funds,6,3,0.78,1400.0,4,1.7,3.51,0.82,3.5,34.6,8.9,500
Invesco India Tax Plan – Direct Growth,Equity,ELSS Mutual Funds,6,3,0.92,1833.0,10,1.19,-2.63,0.94,-5.2,22.4,10.8,500
Invesco India Treasury Advantage Fund,Debt,Low Duration Funds,2,2,0.32,1230.0,10,1.34,2.95,1.27,4.9,5.6,6.4,100
Invesco India Ultra Short Term Fund,Debt,Ultra Short Duration Funds,2,3,0.24,818.0,10,1.59,2.51,1.2,5.4,5.1,6.0,1000
ITI Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,1,0.22,7.04,4,-0.71,-0.04,0.31,3.9,3.3,8.9,500
ITI Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,1,0.35,452.0,3,0.88,-0.95,0.59,-0.2,12.3,8.9,500
ITI Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,2,5,0.15,27.0,2,-,-,-,5.4,18.5,8.9,500
ITI Dynamic Bond Fund,Debt,Dynamic Bond,2,5,0.14,57.0,2,-,-,-,5.7,18.5,8.9,500
ITI Liquid Fund,Debt,Liquid Mutual Funds,1,2,0.09,31.0,4,0,0.63,0.47,5.5,3.9,8.9,500
ITI Long Term Equity Fund,Equity,ELSS Mutual Funds,6,2,0.44,156.0,3,1.31,0.26,0.86,5.6,23.7,8.9,500
ITI Overnight Fund,Debt,Overnight Mutual Funds,1,1,0.08,26.0,3,-0.22,0.48,0.42,5.2,3.8,8.9,500
ITI Small Cap Fund,Equity,Small Cap Mutual Funds,6,1,0.44,1015.0,3,1.27,-4.78,0.95,6.5,29.4,8.9,500
ITI Ultra Short Duration Fund,Debt,Ultra Short Duration Funds,2,2,0.1,119.0,2,-,-,-,5.3,18.5,8.9,500
JM Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,1,0.36,60.0,10,-0.23,0.56,0.55,5.4,3.7,4.5,500
JM Dynamic Bond Fund,Debt,Dynamic Bond,2,4,0.63,43.0,10,0.95,1.34,0.65,4.8,6.0,6.1,1000
JM Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,4,1.37,11.0,10,1.4,5.95,1,8.0,29.5,11.2,500
JM Flexicap Fund,Equity,Flexi Cap Funds,6,4,1.62,255.0,10,1.4,1.75,0.9,5.2,30.7,13.8,500
JM Focused Fund,Equity,Focused Funds,6,1,1.58,42.0,10,1.08,-2.98,0.93,3.1,19.4,8.6,500
JM Large Cap Fund,Equity,Large Cap Mutual Funds,6,5,1.8,44.0,10,1.2,-0.69,0.67,1.8,18.3,10.4,500
JM Liquid Fund,Debt,Liquid Mutual Funds,2,4,0.15,1426.0,10,0.86,1.22,0.68,5.6,4.2,5.3,1000
JM Low Duration Fund,Debt,Low Duration Funds,2,4,0.34,151.0,10,0.64,9.03,1.19,5.1,11.5,5.3,1000
JM Medium to Long Duration Fund,Debt,Medium to Long Duration Funds,3,2,0.48,19.0,10,0.2,0.23,1.39,2.5,4.8,3.1,1000
JM Tax Gain Fund,Equity,ELSS Mutual Funds,6,3,1.45,70.0,10,1.35,0.39,0.93,0.9,26.2,12.8,500
JM Value Fund,Equity,Value Funds,6,2,1.87,163.0,10,1.53,4.56,0.89,7.7,28.9,12.4,500
Kotak Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,3,0.48,14279.0,5,1.59,3.56,0.56,5.5,18.1,8.9,1000
Kotak Banking and PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,3,0.37,5256.0,10,1.03,4.03,1.45,4.7,6.7,7.5,1000
Kotak Bluechip Fund,Equity,Large Cap Mutual Funds,6,5,0.64,5259.0,10,1.45,1.75,0.91,3.3,26.8,12.6,100
Kotak Bond – Short Term Fund,Debt,Short Duration Funds,3,3,0.36,12203.0,10,1.12,4.73,2.06,4.4,6.5,7.2,1000
Kotak Bond Fund,Debt,Medium to Long Duration Funds,2,3,0.63,1584.0,10,0.6,1.47,1.57,4.1,6.4,7.7,1000
Kotak Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,3,0.32,8880.0,10,1.23,1.73,0.59,4.5,6.4,7.1,1000
Kotak Credit Risk Fund,Debt,Credit Risk Funds,5,2,0.74,1204.0,10,0.47,0.82,-0.4,1.6,5.9,6.4,1000
Kotak Debt Hybrid Fund,Hybrid,Conservative Hybrid Mutual Funds,4,5,0.44,1650.0,10,2.06,4.79,0.7,6.1,14.3,10.0,1000
Kotak Dynamic Bond Fund,Debt,Dynamic Bond,3,4,0.4,1992.0,10,0.69,1.66,1.32,3.9,6.6,7.8,1000
Kotak Emerging Equity Fund,Equity,Mid Cap Mutual Funds,6,4,0.49,23962.0,10,1.82,3.18,0.9,6.6,34.0,15.2,100
Kotak Equity Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,4,0.43,21917.0,10,1.26,1.66,0.54,5.8,4.9,5.6,1000
Kotak Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,0,0.58,3269.0,8,1.86,7.32,0.79,5.0,26.9,12.8,1000
Kotak Equity Opportunities – Direct Growth,Equity,Large & Mid Cap Funds,6,4,0.6,11608.0,10,1.64,4.72,0.84,6.2,28.8,13.9,500
Kotak Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,4,1.02,2097.0,8,1.8,4.5,0.79,6.6,14.4,9.2,1000
Kotak Flexi Cap Fund,Equity,Flexi Cap Funds,6,3,0.68,35775.0,10,1.37,0.11,0.88,3.8,25.0,11.7,500
Kotak Floating Rate Fund,Debt,Floater Mutual Funds,2,2,0.22,4796.0,4,1.02,3.79,1.03,4.6,7.0,8.9,1000
Kotak Focused Equity Fund,Equity,Focused Funds,6,3,0.51,2447.0,4,1.44,1.39,0.9,0.5,26.6,8.9,1000
Kotak Gilt – Invest Plan – Direct Growth,Debt,Gilt Mutual Funds,2,4,0.41,1699.0,10,0.64,1.3,0.7,5.2,6.3,8.4,1000
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,Debt,Gilt Mutual Funds,2,4,0.41,1699.0,10,0.64,1.3,0.7,5.2,6.3,8.4,1000
Kotak Gold Fund,Other,FoFs Domestic,5,3,0.18,1406.0,10,0.48,-0.32,0.97,14.2,12.2,13.7,1000
Kotak India EQ Contra Fund,Equity,Contra Funds,6,4,0.81,1440.0,10,1.57,4.24,0.92,7.3,29.7,14.2,1000
Kotak India Growth Fund,Equity,Multi Cap Funds,6,0,0.34,90.0,5,1.75,7.67,0.95,4.8,35.5,15.6,0
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,Equity,Sectoral / Thematic Mutual Funds,6,4,1.0,727.0,10,2,14.15,0.6,23.2,39.7,13.9,1000
Kotak Liquid Fund,Debt,Liquid Mutual Funds,3,2,0.15,33220.0,10,0.85,1.33,0.76,5.6,4.3,5.3,1000
Kotak Low Duration Fund,Debt,Low Duration Funds,3,3,0.43,7420.0,10,1.43,2.9,0.78,5.4,6.2,6.9,1000
Kotak Medium Term Fund,Debt,Medium Duration Funds,3,4,0.58,1934.0,9,0.66,2.04,0.79,4.0,7.0,6.6,1000
Kotak Money Market Fund,Debt,Money Market Funds,3,3,0.26,14248.0,10,1.92,2.59,1.2,5.6,5.1,6.1,0
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,Other,FoFs Domestic,5,0,0.13,783.0,10,1.91,8.04,0.7,11.2,25.0,15.3,1000
Kotak Overnight Fund,Debt,Overnight Mutual Funds,1,3,0.07,8999.0,4,-0.02,0.56,0.42,5.4,3.9,8.9,0
Kotak Savings Fund,Debt,Ultra Short Duration Funds,3,3,0.37,12325.0,10,1.85,2.57,1.12,5.5,5.2,6.2,1000
Kotak Small Cap Fund,Equity,Small Cap Mutual Funds,6,4,0.59,8617.0,10,1.98,8.99,0.81,-0.7,43.1,17.0,500
Kotak Tax Saver Fund,Equity,ELSS Mutual Funds,6,4,0.69,3167.0,10,1.68,4.69,0.83,5.0,28.9,14.4,500
L&T Focused Equity Fund,Equity,Focused Funds,6,3,1.09,946.0,4,-,-,-,-0.7,33.7,11.3,500
L&T India Large Cap Fund,Equity,Large Cap Mutual Funds,6,2,1.49,757.0,10,1.18,-2.34,0.97,0.8,33.0,12.1,500
LIC MF Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,2,0.31,27.0,4,0.55,1.23,0.6,5.5,4.4,8.9,1000
LIC MF Banking & Fina Serv Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.54,121.0,8,0.97,0.9,0.85,13.9,22.7,8.5,1000
LIC MF Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,2,3,0.28,1190.0,10,0.78,3.94,2.05,4.2,5.7,6.8,1000
